fips,case0,case1,case2,case3,case4,case5,case6,case7,case8,case9,case10,case11,case12,case13,case14,case15,case16,case17,case18,case19,case20,case21,case22,case23,case24,case25,case26,case27,case28,case29,case30,case31,case32,case33,case34,case35,total_case,death0,death1,death2,death3,death4,death5,death6,death7,death8,death9,death10,death11,death12,death13,death14,death15,death16,death17,death18,death19,death20,death21,death22,death23,death24,death25,death26,death27,death28,death29,death30,death31,death32,death33,death34,death35,total_death,population,perc_65yrs,perc_minority,perc_black,perc_hispanic,perc_poverty,perc_urban_pop,income,risk_flu,urban_risk,case0_glm,case1_glm,case2_glm,case3_glm,case4_glm,case5_glm,case6_glm,case7_glm,case8_glm,case9_glm,case10_glm,case11_glm,case12_glm,case13_glm,case14_glm,case15_glm,case16_glm,case17_glm,case18_glm,case19_glm,case20_glm,case21_glm,case22_glm,case23_glm,case24_glm,case25_glm,case26_glm,case27_glm,case28_glm,case29_glm,case30_glm,case31_glm,case32_glm,case33_glm,case34_glm,case35_glm,total_case_glm,death0_glm,death1_glm,death2_glm,death3_glm,death4_glm,death5_glm,death6_glm,death7_glm,death8_glm,death9_glm,death10_glm,death11_glm,death12_glm,death13_glm,death14_glm,death15_glm,death16_glm,death17_glm,death18_glm,death19_glm,death20_glm,death21_glm,death22_glm,death23_glm,death24_glm,death25_glm,death26_glm,death27_glm,death28_glm,death29_glm,death30_glm,death31_glm,death32_glm,death33_glm,death34_glm,death35_glm,total_death_glm
01001,12.00,7.00,6.00,11.00,11.00,16.00,45.00,48.00,60.00,48.00,97.00,77.00,67.00,96.00,107.00,142.00,103.00,111.00,111.00,77.00,66.00,106.00,53.00,74.00,124.00,83.00,63.00,80.00,84.00,70.00,113.00,118.00,149.00,162.00,138.00,244.00,3005,0.00,1.00,1.00,0.00,1.00,1.00,0.00,0.00,1.00,1.00,1.00,2.00,3.00,1.00,2.00,6.00,0.00,0.00,1.00,1.00,0.00,0.00,1.00,0.00,1.00,1.00,2.00,1.00,0.00,3.00,0.00,0.00,6.00,3.00,3.00,0.00,42,-0.15,-0.79,0.51,0.74,-0.49,-0.23,0.54,0.48,1.01,0.67,15.96,16.53,18.04,26.81,31.76,31.29,30.41,31.10,32.41,31.30,30.32,31.87,41.99,51.09,63.81,76.04,84.43,87.37,82.96,73.79,71.39,77.21,78.92,73.46,86.09,93.75,88.67,104.81,118.55,138.75,159.05,231.78,281.97,318.17,281.66,332.26,3591.55,0.19,0.42,0.68,1.06,1.24,1.33,1.39,0.64,1.19,1.02,0.94,0.70,0.76,0.60,0.78,0.74,1.03,1.33,1.27,1.28,1.32,1.28,1.17,1.11,1.35,1.19,1.22,1.33,1.32,1.69,1.77,2.39,2.43,3.25,2.94,4.30,53.97
01003,34.00,36.00,40.00,45.00,30.00,34.00,42.00,19.00,12.00,29.00,46.00,51.00,155.00,288.00,419.00,645.00,750.00,519.00,381.00,348.00,209.00,370.00,182.00,231.00,114.00,436.00,569.00,142.00,174.00,292.00,313.00,271.00,370.00,535.00,602.00,893.00,9728,1.00,0.00,1.00,1.00,1.00,1.00,3.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,3.00,3.00,4.00,3.00,5.00,3.00,4.00,6.00,1.00,6.00,1.00,3.00,12.00,2.00,2.00,2.00,12.00,1.00,0.00,14.00,40.00,138,0.35,0.26,-0.18,-0.04,-0.37,-0.88,0.53,0.35,1.30,0.82,12.59,12.95,14.07,21.10,24.94,24.41,22.94,23.85,22.38,23.15,25.18,31.41,42.47,55.60,69.02,84.23,87.01,87.35,71.07,65.90,59.27,56.39,59.48,52.82,66.56,72.70,78.93,93.68,115.40,137.68,163.08,228.79,292.38,331.38,302.57,343.81,3336.38,0.14,0.32,0.54,0.86,1.04,1.17,1.24,0.50,0.99,0.90,0.83,0.62,0.72,0.59,0.75,0.81,1.06,1.45,1.33,1.40,1.30,1.32,1.21,1.08,1.31,1.30,1.23,1.31,1.61,2.01,1.96,2.30,2.68,3.71,3.64,5.25,50.33
01005,3.00,7.00,8.00,16.00,9.00,14.00,24.00,27.00,47.00,41.00,37.00,39.00,45.00,39.00,53.00,88.00,66.00,48.00,21.00,40.00,40.00,40.00,19.00,18.00,42.00,51.00,35.00,23.00,38.00,52.00,29.00,36.00,28.00,34.00,16.00,46.00,1223,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,19.00,29,-0.24,-0.01,2.19,2.69,-0.38,2.59,-0.29,-1.33,0.42,-0.24,7.41,8.29,9.47,13.41,13.56,11.24,12.61,12.58,16.21,15.59,15.22,10.97,13.84,16.21,19.52,25.93,34.74,36.64,42.18,33.13,29.08,33.41,33.54,27.19,27.44,26.49,20.84,23.77,25.69,27.42,27.16,38.87,38.90,55.33,52.46,69.48,1049.03,0.14,0.26,0.38,0.46,0.47,0.49,0.51,0.58,0.54,0.43,0.49,0.32,0.36,0.34,0.44,0.46,0.73,0.99,0.83,0.93,1.03,1.12,0.85,0.99,1.20,0.90,0.85,0.86,0.72,0.76,0.68,1.18,0.84,1.05,0.87,1.22,35.40
01007,4.00,9.00,13.00,8.00,7.00,4.00,7.00,7.00,15.00,5.00,27.00,20.00,38.00,32.00,33.00,41.00,54.00,49.00,73.00,35.00,40.00,29.00,26.00,20.00,27.00,27.00,33.00,51.00,49.00,56.00,38.00,57.00,44.00,58.00,143.00,104.00,1293,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,3.00,0.00,1.00,0.00,0.00,0.00,4.00,0.00,0.00,2.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,21.00,38,-0.25,-0.65,0.48,0.82,-0.50,1.09,-0.31,-0.48,0.44,-0.25,2.00,2.49,3.06,5.54,6.87,6.64,7.37,7.41,9.33,9.48,9.07,7.98,9.83,10.78,14.04,17.26,22.11,24.00,27.30,22.58,22.50,28.67,30.46,27.84,31.65,34.61,29.48,35.55,37.44,42.58,45.65,64.27,73.93,87.03,76.86,91.64,1025.23,0.02,0.05,0.09,0.15,0.18,0.21,0.25,0.11,0.27,0.22,0.23,0.16,0.15,0.16,0.21,0.22,0.34,0.46,0.43,0.44,0.51,0.53,0.44,0.48,0.60,0.49,0.54,0.61,0.53,0.69,0.76,1.15,0.98,1.25,1.09,1.54,16.67
01009,12.00,3.00,9.00,12.00,6.00,5.00,2.00,3.00,13.00,11.00,38.00,37.00,41.00,48.00,98.00,149.00,167.00,166.00,125.00,69.00,135.00,152.00,98.00,73.00,92.00,59.00,36.00,61.00,117.00,110.00,162.00,193.00,216.00,217.00,187.00,359.00,3299,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,1.00,1.00,1.00,3.00,3.00,1.00,1.00,1.00,0.00,1.00,7.00,2.00,0.00,1.00,8.00,2.00,4.00,6.00,46,-0.14,-0.22,-0.70,-0.53,-0.01,-0.32,-1.00,-0.17,0.62,-0.72,0.16,0.27,0.38,0.97,1.55,1.64,1.80,1.93,2.57,2.96,3.20,3.20,3.70,4.08,5.88,7.23,9.18,10.15,10.37,9.71,9.65,10.64,10.82,9.76,13.27,16.74,14.99,18.40,20.23,23.48,25.94,35.50,40.59,44.70,37.88,44.36,423.84,0.00,0.00,0.01,0.01,0.02,0.03,0.05,0.01,0.05,0.04,0.05,0.04,0.04,0.05,0.06,0.07,0.11,0.19,0.17,0.18,0.20,0.21,0.19,0.19,0.25,0.21,0.23,0.27,0.29,0.40,0.44,0.58,0.58,0.71,0.67,0.90,4.59
01011,2.00,2.00,5.00,3.00,2.00,7.00,14.00,68.00,102.00,26.00,69.00,24.00,22.00,17.00,10.00,17.00,21.00,30.00,27.00,32.00,39.00,16.00,14.00,9.00,8.00,19.00,6.00,13.00,9.00,15.00,5.00,11.00,11.00,13.00,8.00,17.00,713,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,3.00,3.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,2.00,0.00,0.00,1.00,20,-0.29,-0.59,3.59,4.21,-0.09,4.50,0.23,-1.70,-0.27,-0.19,85.46,74.14,75.19,74.47,56.53,40.81,47.40,43.41,57.46,50.59,43.85,25.71,33.83,38.77,42.78,57.29,81.05,82.86,112.26,80.69,67.42,86.86,85.80,65.58,54.79,46.43,31.88,34.23,34.61,36.02,33.92,49.04,46.76,76.05,76.51,108.44,2137.27,3.58,4.80,4.79,4.02,3.28,2.77,2.31,7.64,2.27,1.82,1.89,1.26,1.36,1.17,1.53,1.53,2.39,2.74,2.28,2.44,2.97,3.05,2.11,2.78,3.15,2.14,1.95,1.94,1.17,1.06,0.93,1.95,1.10,1.39,1.03,1.54,126.64
01013,1.00,5.00,8.00,14.00,65.00,82.00,90.00,64.00,74.00,44.00,87.00,33.00,28.00,29.00,22.00,30.00,42.00,38.00,15.00,28.00,16.00,40.00,24.00,9.00,9.00,10.00,13.00,34.00,39.00,16.00,14.00,28.00,24.00,57.00,33.00,60.00,1236,0.00,0.00,0.00,0.00,1.00,5.00,3.00,2.00,6.00,5.00,3.00,1.00,1.00,1.00,1.00,3.00,2.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,42,-0.26,0.22,2.01,2.46,-0.60,1.54,-0.40,-1.12,0.14,-0.40,3.88,4.76,5.62,8.93,10.35,9.13,9.74,10.33,12.89,12.56,13.15,10.38,13.01,16.00,19.79,26.34,33.69,35.91,36.35,30.05,26.69,26.98,26.35,21.82,24.01,24.49,20.42,23.77,27.08,28.90,29.07,42.46,41.91,56.64,52.03,68.35,965.46,0.06,0.12,0.20,0.26,0.30,0.33,0.38,0.29,0.40,0.31,0.39,0.25,0.30,0.27,0.34,0.35,0.57,0.84,0.70,0.82,0.83,0.93,0.75,0.79,1.00,0.76,0.70,0.70,0.72,0.79,0.68,1.08,0.86,1.08,0.93,1.26,26.56
01015,23.00,36.00,12.00,19.00,12.00,28.00,6.00,9.00,16.00,22.00,18.00,10.00,34.00,118.00,157.00,252.00,314.00,455.00,280.00,179.00,260.00,240.00,297.00,226.00,266.00,196.00,162.00,182.00,242.00,516.00,296.00,296.00,291.00,454.00,377.00,726.00,7096,0.00,0.00,2.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,1.00,0.00,3.00,4.00,6.00,4.00,6.00,2.00,0.00,8.00,5.00,0.00,5.00,10.00,2.00,4.00,2.00,10.00,36.00,6.00,8.00,127,0.02,-0.35,0.58,0.82,-0.41,0.71,0.80,-0.53,1.22,1.04,34.20,29.77,31.32,39.19,40.93,38.25,38.10,36.94,36.92,37.17,38.50,43.03,60.34,75.64,89.75,108.39,118.84,119.94,111.14,92.40,85.52,96.88,106.06,92.72,103.18,105.82,103.94,122.15,140.57,166.15,186.30,258.56,324.30,384.51,356.58,404.13,4513.86,0.71,1.14,1.66,2.07,2.27,2.18,2.07,1.71,1.70,1.66,1.36,1.10,0.95,0.93,1.21,1.34,1.82,2.10,2.03,2.08,2.13,2.08,1.82,1.75,2.03,1.96,1.85,2.00,1.92,2.36,2.39,3.17,3.15,4.37,3.93,5.88,83.20
01017,91.00,98.00,53.00,37.00,17.00,27.00,14.00,6.00,26.00,24.00,81.00,46.00,40.00,74.00,60.00,68.00,58.00,49.00,37.00,21.00,43.00,54.00,31.00,30.00,36.00,36.00,39.00,39.00,26.00,86.00,45.00,93.00,71.00,113.00,99.00,133.00,1906,6.00,2.00,3.00,6.00,4.00,0.00,1.00,1.00,2.00,1.00,0.00,1.00,0.00,0.00,0.00,6.00,4.00,1.00,0.00,0.00,0.00,1.00,1.00,0.00,2.00,0.00,0.00,1.00,0.00,1.00,3.00,1.00,0.00,0.00,2.00,4.00,54,-0.22,0.09,1.70,2.13,-0.52,0.58,0.31,-0.93,0.20,0.07,14.91,15.59,17.21,23.83,27.69,25.65,24.99,26.61,28.40,28.22,31.86,31.74,43.46,58.70,70.53,91.41,102.59,105.56,88.13,74.54,65.88,60.02,58.71,48.87,56.72,59.55,54.44,63.20,77.19,85.88,90.78,133.38,139.50,177.05,159.47,199.94,2657.54,0.27,0.48,0.76,0.94,1.09,1.11,1.16,0.94,1.07,0.91,0.99,0.69,0.80,0.69,0.89,0.96,1.42,1.99,1.72,2.03,1.83,1.92,1.69,1.58,1.88,1.63,1.39,1.37,1.59,1.79,1.52,2.12,2.00,2.67,2.36,3.25,59.34
01019,5.00,2.00,5.00,2.00,2.00,7.00,3.00,6.00,5.00,5.00,10.00,5.00,12.00,32.00,27.00,43.00,38.00,45.00,47.00,36.00,32.00,33.00,47.00,53.00,47.00,47.00,29.00,32.00,49.00,26.00,50.00,59.00,57.00,81.00,43.00,68.00,1093,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,2.00,0.00,0.00,5.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,9.00,0.00,0.00,24,-0.24,0.79,-0.54,-0.37,-0.58,0.19,-0.87,-0.77,0.34,-0.66,0.29,0.42,0.56,1.24,1.73,1.71,1.89,1.99,2.41,2.72,3.04,3.13,3.74,4.32,5.84,7.43,9.24,10.02,9.86,8.74,8.25,9.16,10.13,8.93,11.46,13.00,13.03,16.23,18.64,21.32,23.36,31.17,37.18,43.08,38.91,43.98,412.79,0.00,0.01,0.01,0.03,0.03,0.05,0.07,0.02,0.07,0.06,0.07,0.05,0.05,0.06,0.07,0.09,0.14,0.21,0.19,0.21,0.22,0.26,0.21,0.21,0.29,0.26,0.27,0.31,0.36,0.48,0.50,0.62,0.62,0.80,0.77,1.05,6.02
